BASE_DTTM,REG_DTTM,SUDN_ST_ID,SUDN_LAST_VER,SUDN_SERV_ST_DTTM,SUDN_ST_DTTM,SUDN_ED_DTTM,SUDN_ST_CD,SUDN_ST_TYPE_CD,SUDN_ST_CONT,SUDN_ST_ROAD_KIND,SUDN_LANE_NO,VEHICLE_KIND,OCCUR_LINK_ID,OCCUR_X_POS,OCCUR_Y_POS,SUDN_ST_ROAD,SUDN_ST_SECTION,SUB_LINK_CNT,MID,KS_SUB_LINK_ID
202503190900,20250319090100,TBS-03778448,2,202410081352,202410081352,202504302359,B,99,"<TBS제공>[영등포고가차도 철거] '영등포로터리 구조개선공사'와 관련하여 경인로 서울교에서 영등포역 구간에 위치한 영등포고가차도 철거작업이 오는 10월 25일(금) 밤 11시부터 진행되어 고가차도 양방면 진입이 전면통제됩니다. 공사기간 중 신길역에서 영등포로터리를 경유하는 영등포역 직진 방향과 신길지하차도 좌회전 방향은 통행이 불가하고, 경인로, 영등포로, 신길로 등 교통 혼잡이 예상되니 미리 다른도로로 우회하시기 바랍니다. ＊공사기간(고가철거시행) : 2024년 10월 25일(금)~2025년 4월 말까지(예정)",1,0,0,1180073400,126.913417,37.518972,경인로,경인로,1,37,1180073500
202503190900,20250319090100,L93152021213,2,202503190856,202503190856,202503190926,B,0,<경찰청제공>[공사] 서초대로 대법원 에서 서울대법원 방향 4차로 도로공사 주의운전,1,0,0,1210019601,127.006,37.491333,서초대로,서초대로,0,421,
202503190900,20250319090100,L93106245889,131,202107220000,202107220000,202511142359,B,0,<경찰청제공>[공사] 올림픽대로 올림픽대교 에서 천호대교 방향 4차로 도로공사 천호대로 남단IC 연결체계 개선공사 올림픽대로 천호대로 남단IC 부분통제 서울청,1,0,0,1230005404,127.118333,37.540972,올림픽대로,올림픽대로,0,122,
202503190900,20250319090100,L93106217263,183,202106300000,202106300000,202804302359,B,0,"<경찰청제공>[공사] 영동대로 삼성역사거리 에서 코엑스 방향 6차로 도로공사 영동대로 지하공간 복합개발 건설공사, 장소: 코엑스사거리~삼상역 일원 부분통제 서울청",1,0,0,1220003402,127.061583,37.512056,영동대로,영동대로,0,167,
202503190900,20250319090100,TBS-03754740,2,202401111758,202401111758,202607290500,B,99,"<TBS제공>[공사소식] 서부간선도로 일반도로화 및 친환경공간 조성공사로 인해 서부간선도로 목동교에서 신정교구간 양방면과. 광명대교에서 금천교구간 양방면의 야간공사 (22:00~익일 05:00)가 진행됩니다. 왕복 4개차로중 2개차로씩 부분통제로 서부간선도로 등 주변도로 정체 및 혼잡 예상되니 이용에 참고하시기 바랍니다. *공사기간 : 2023년 12월 20일~2026년 7월 28일(광명대교~금천교), 2024년1월 15일~2026년 7월 8일(목동교~신정교) 22:00~05:00 (야간공사) ※주간에는 기존 왕복 4개차로 유지",1,0,0,1170030200,126.878806,37.474667,서부간선도로,서부간선도로,7,222,"1170030300,1180001303,1180002102,1180002202,1180077200,2130043400,2130043500"
202503190900,20250319090100,2025031101832,5,202501052100,202501060000,202506302359,B,99,천호대로 광나루역방향 아차산역 스타벅스 앞 도로 배수관정비공사로 부분통제 01/06~06/30 24시간,1,2,0,1040003702,127.090028,37.550778,천호대로,아차산역 스타벅스 앞 도로,2,107,"1040003703,1040003704"
202503190900,20250319090100,L93151476461,14,202502100700,202502100700,202506301700,B,0,<경찰청제공>[공사] 강변북로 상암동48792 에서 공중화장실중앙연결브 방향 1차로 도로공사 [공사] 월드컵공원 강변북로 관문녹지 경관개선사업공사/장소: 마포구 상암동 487-92/통제:부분통제  서울청,1,0,0,1130005802,126.883083,37.564833,강변북로,강변북로,0,194,
202503190900,20250319090100,M250319000163,5,202503190838,202503190838,202503190913,B,99,<국토부제공>(갓길)시설물청소작업중,2,2,0,2270545600,127.151972,37.512472,수도권제1순환선,수도권제1순환선,0,383,
202503190900,20250319090100,L93106252600,227,202107290000,202107290000,202511292359,B,0,<경찰청제공>[공사] 연결 체계 에서 개선공사 방향 1차로 도로공사 장소: 올림픽대로 잠실대교 남단IC본선및 연결로/통제방법: 부분통제 서울청,1,0,0,1230005001,127.095111,37.519583,연결,연결,0,193,
202503190900,20250319090100,L93146544022,190,202501010715,202501010715,202503311700,B,0,<경찰청제공>[공사] 서부간선도로 목동교 에서 신정교 방향 2차로 도로공사 [공사] 서부간선도로 일반도로화 및 친환경공간 조성공사 / 장소: 서부간선도로 목동교~신정교 / 부분통제  서울청,1,0,0,1185077100,126.889194,37.529917,서부간선도로,서부간선도로,6,209,"1185076200,1185074600,1185073200,1185023300,1185074300,1185195600"
202503190900,20250319090100,L93152020860,5,202503190828,202503190828,202503190858,B,0,<경찰청제공>[공사] 효령로 서초3교 에서 남부터미널역 방향 3차로 하수도/배수로 작업 주의운전,1,0,0,1210017003,127.021222,37.486306,효령로,효령로,0,347,
202503190900,20250319090100,2025020600761,4,202503030600,202503030900,202504302359,B,99,봉수대로 인천시청방면 월드브라인드갤러리 검단점 인근 관매설공사로 부분통제,1,3,0,1680057202,126.656972,37.589667,봉수대로,월드브라인드갤러리 검단점,0,160,
202503190900,20250319090100,L93151797841,37,202503010714,202503010714,202505021700,B,0,"<경찰청제공>[공사] 강변북로 동호대교 에서 한남대교 방향 1차로 유지보수 [공사]2024년 두모교 보수공사/장소:강변북로 두모교 일산방면 상부(옥수동 489-1부근, 한남동 784부근)/부분통제  서울청",1,0,0,1030001100,127.018056,37.539639,강변북로,강변북로,1,206,1020000902
202503190900,20250319090100,L93152020699,255,202503190813,202503190813,202503190843,B,0,<경찰청제공>[공사] 경부고속도로 양재IC 에서 서울만남의광장휴게소 방향 1차로 도로공사 주의운전,1,0,0,1210000702,127.042278,37.461056,경부고속도로,경부고속도로,0,68,
202503190900,20250319090100,L93142092407,191,202411251000,202411251000,202506161600,B,0,<경찰청제공>[공사] 내부순환도로 홍제천 고가교  에서 예그린유치원 방향 1차로 도로공사 [공사] 2024년 홍제천고가교 정밀안전진단 및 실태조사 용역/ 장소: 내부순환로 홍제천고가교 /부분통제   서울청,1,0,0,1120001400,126.935583,37.579583,내부순환도로,내부순환도로,0,157,
202503190900,20250319090100,M250319000166,5,202503190840,202503190840,202503190913,B,99,<국토부제공>(갓길)청소작업중,2,2,0,1670004100,126.748694,37.544194,수도권제1순환선,수도권제1순환선,0,384,
202503190900,20250319090100,L93133028660,131,202405270700,202405270700,202612311700,B,0,<경찰청제공>[공사] 올림픽대로 개화IC 에서 개화IC 방향 1차로 도로공사 [공사] 광명 서울고속도로 민간투자산업 건설공구 / 장소: 금낭화로26가길 / 부분통제  서울청,1,0,0,1150006401,126.803806,37.590111,올림픽대로,올림픽대로,0,188,
202503190900,20250319090100,L93151627506,117,202502172200,202502172200,202504020500,B,0,"<경찰청제공>[공사] 내부순환도로 홍지문터널  에서 홍지문터널 방향 양방향 1,2,3차로 도로공사 [공사] 홍지문터널 방재설비 노후 전력케이블 개선 소방공사/ 장소: 내부순환로 홍지문터널 (양방향) / 부분통제   서울청",1,0,0,1000048100,126.965972,37.5995,내부순환도로,내부순환도로,0,232,
202503190900,20250319090100,S000000383410,2,202503190848,202503190848,202503190908,B,4,<서울시설공단제공>올림픽대로 김포 방향 가양대교남단→방화대교남단 시설물보수 3차로차단,1,2,0,1150003202,126.848361,37.571639,올림픽대로,가양대교남단→방화대교남단,0,250,
202503190900,20250319090100,L93137884522,6,202410272300,202410272300,202504302359,B,0,<경찰청제공>[공사] 경인로 영등포고가차도 에서 영등포고가차도 방향 양방향 전체차로 도로공사 [공사/전면통제] 영등포로터리 구조개선공사/ 장소: 영등포 고가차도 철거작업으로  양방향 전면통제 서울청,1,0,0,1180073500,126.914611,37.519806,경인로,경인로,3,243,"1180000902,1180001002,1180073400"
202503190900,20250319090100,TBS-03716604,3,202303161708,202303161708,202807252359,B,99,<TBS제공>[공사소식] 강동구 고덕2동 아리수로와 고덕비즈밸리로 교차점 인근 약 200m 구간 양방면 지하철공사로 왕복 6개차로중 1~2개차로 부분통제 *공사기간 : 2023년 3월 16일부터 2028년 7월 25일까지 예정 ※일정은 현장여건에 따라 변동될 수 있음.,1,0,0,1240028301,127.160889,37.562861,강동구 고덕2동,강동구 고덕2동,1,196,1240028401
202503190900,20250319090100,L93151998609,109,202503180700,202503180700,202512311800,B,0,<경찰청제공>[공사] 강변북로 양화대교북측 에서 양화대교북측 방향 1차로 도로공사 [공사] 사고위험 도시고속도로 구조개선공사 /장소: 강변북로(구리) 양화대교 진입램프 /부분통제,1,0,0,1130045800,126.906333,37.548056,강변북로,강변북로,0,181,
202503190900,20250319090100,L93152020203,13,202503190700,202503190700,202505211700,B,0,<경찰청제공>[공사] 동부간선도로 탄천2교 에서 한국가스안전공사서울 방향 3차로 도로공사 [공사] 동부간선도로 진출램프교 공사 / 장소: 대치동 78-28(동부간선도로  탄천2교 인접부 /부분통제   서울청,1,0,0,1220002901,127.070972,37.502083,동부간선도로,동부간선도로,0,237,
202503190900,20250319090100,M250319000164,5,202503190841,202503190841,202503190913,B,99,<국토부제공>(진출로갓길)시설물설치작업중,2,2,0,0,127.164167,37.524972,세종포천선,세종포천선,0,382,
202503190900,20250319090100,M250319000182,3,202503190848,202503190848,202503190913,B,99,<국토부제공>(1차로)시설물설치작업중,2,2,0,0,127.156278,37.564278,세종포천선,세종포천선,0,208,
202503190905,20250319090600,TBS-03778448,2,202410081352,202410081352,202504302359,B,99,"<TBS제공>[영등포고가차도 철거] '영등포로터리 구조개선공사'와 관련하여 경인로 서울교에서 영등포역 구간에 위치한 영등포고가차도 철거작업이 오는 10월 25일(금) 밤 11시부터 진행되어 고가차도 양방면 진입이 전면통제됩니다. 공사기간 중 신길역에서 영등포로터리를 경유하는 영등포역 직진 방향과 신길지하차도 좌회전 방향은 통행이 불가하고, 경인로, 영등포로, 신길로 등 교통 혼잡이 예상되니 미리 다른도로로 우회하시기 바랍니다. ＊공사기간(고가철거시행) : 2024년 10월 25일(금)~2025년 4월 말까지(예정)",1,0,0,1180073400,126.913417,37.518972,경인로,경인로,1,37,1180073500
202503190905,20250319090600,L93151897353,196,202503100900,202503100900,202503281800,B,0,<경찰청제공>[공사] 올림픽대로 강일IC 에서 강일IC 방향 양방향 전체차로 도로공사 [공사]세종포천고속도로 안성구리간 건설공사 제14공구/장소:올림픽대로 강일IC~암사IC구간(양방향)/부분통제  서울청,1,0,0,1240057300,127.164,37.572806,올림픽대로,올림픽대로,3,469,"1240055101,1240055003,1240057100"
202503190905,20250319090600,L93106245889,132,202107220000,202107220000,202511142359,B,0,<경찰청제공>[공사] 올림픽대로 올림픽대교 에서 천호대교 방향 4차로 도로공사 천호대로 남단IC 연결체계 개선공사 올림픽대로 천호대로 남단IC 부분통제 서울청,1,0,0,1230005404,127.118333,37.540972,올림픽대로,올림픽대로,0,122,
202503190905,20250319090600,L93152020141,2,202503190900,202503190900,202503211700,B,0,<경찰청제공>[공사] 내부순환도로 월곡IC 에서 길음IC 방향 3차로 도로공사 [공사] 자동차전용도로 소규모포장 정비공사/ 장소: 내부순환로 성산방향 월곡IC 700m~길음IC/ 부분통제   서울청,1,0,0,1070074100,127.040861,37.597444,내부순환도로,내부순환도로,2,462,"1070000100,1070047800"
202503190905,20250319090600,L93151914954,233,202503120900,202503120900,202503311700,B,0,<경찰청제공>[공사] 강남대로 한남대교남측 에서 용산구강남구 방향 1차로 도로공사 [공사] 한남대교 중앙분리대 이동통신 중계기사설 이설공사/장소: 한남대교 중앙분리대/통제:부분통제  서울청,1,0,0,1220342400,127.01325,37.526833,강남대로,강남대로,0,460,
202503190905,20250319090600,L93106217263,184,202106300000,202106300000,202804302359,B,0,"<경찰청제공>[공사] 영동대로 삼성역사거리 에서 코엑스 방향 6차로 도로공사 영동대로 지하공간 복합개발 건설공사, 장소: 코엑스사거리~삼상역 일원 부분통제 서울청",1,0,0,1220003402,127.061583,37.512056,영동대로,영동대로,0,167,
202503190905,20250319090600,L93151998499,76,202503180900,202503180900,202503311700,B,0,<경찰청제공>[공사] 올림픽대로 성수대교남측 에서 상지카일룸1차 방향 5차로 도로공사 [공사] 2022년 자동차전용도로 강남권역 노후포장정비공사/올림픽대로 (강일방향) 성수대교 5차로/통제:부분통제  서울청,1,0,0,1220005401,127.038222,37.53175,올림픽대로,올림픽대로,0,465,
202503190905,20250319090600,L93151983421,145,202503170900,202503170900,202503211700,B,0,"<경찰청제공>[공사] 강변북로 영동대교 에서 성수대교 방향 1차로 재포장 [공사]자동차전용도로 강북권역 노후포장 정비공사/장소 : 강변북로(난지방향) 영동대교지난 500m~영동대교지난 1300m(1~2차로),영동대교지난 2000m~성수대교지난 150m/부분통제  서울청",1,0,0,1030000402,127.053139,37.535167,강변북로,강변북로,0,470,
202503190905,20250319090600,L93152021240,2,202503190858,202503190858,202503190928,B,0,<경찰청제공>[공사] 동구릉로136번길 웅진코웨이 에서 북트리책읽어주는도서 방향 4차로 유지보수 주의운전,1,0,0,2210116301,127.141472,37.611417,동구릉로136번길,동구릉로136번길,0,443,
202503190905,20250319090600,TBS-03754740,2,202401111758,202401111758,202607290500,B,99,"<TBS제공>[공사소식] 서부간선도로 일반도로화 및 친환경공간 조성공사로 인해 서부간선도로 목동교에서 신정교구간 양방면과. 광명대교에서 금천교구간 양방면의 야간공사 (22:00~익일 05:00)가 진행됩니다. 왕복 4개차로중 2개차로씩 부분통제로 서부간선도로 등 주변도로 정체 및 혼잡 예상되니 이용에 참고하시기 바랍니다. *공사기간 : 2023년 12월 20일~2026년 7월 28일(광명대교~금천교), 2024년1월 15일~2026년 7월 8일(목동교~신정교) 22:00~05:00 (야간공사) ※주간에는 기존 왕복 4개차로 유지",1,0,0,1170030200,126.878806,37.474667,서부간선도로,서부간선도로,7,222,"1170030300,1180001303,1180002102,1180002202,1180077200,2130043400,2130043500"
202503190905,20250319090600,2025031101832,5,202501052100,202501060000,202506302359,B,99,천호대로 광나루역방향 아차산역 스타벅스 앞 도로 배수관정비공사로 부분통제 01/06~06/30 24시간,1,2,0,1040003702,127.090028,37.550778,천호대로,아차산역 스타벅스 앞 도로,2,107,"1040003703,1040003704"
202503190905,20250319090600,L93151897272,117,202503100900,202503100900,202505091700,B,0,<경찰청제공>[공사] 신월여의지하도로 여의나루JC 에서 신월요금소 방향 양방향 전체차로 도로공사 [공사]신월여의지하도로 정기안전점검용역(25년상반기)/장소:신월여의지하차도 양방향/부분통제  서울청,1,0,0,1140282101,126.900972,37.526694,신월여의지하도로,신월여의지하도로,0,423,
202503190905,20250319090600,L93151476461,15,202502100700,202502100700,202506301700,B,0,<경찰청제공>[공사] 강변북로 상암동48792 에서 공중화장실중앙연결브 방향 1차로 도로공사 [공사] 월드컵공원 강변북로 관문녹지 경관개선사업공사/장소: 마포구 상암동 487-92/통제:부분통제  서울청,1,0,0,1130005802,126.883083,37.564833,강변북로,강변북로,0,194,
202503190905,20250319090600,L93151998662,76,202503180900,202503180900,202503311700,B,0,"<경찰청제공>[공사] 올림픽대로 동작대교JC 에서 여의교앞교차로 방향 2,3,4,5,6차로 재포장 [공사] 2022년 자동차전용도로 강남권역 노후포장 정비공사 /장소: 올림픽대로(공항방향) 한강대교~여의교(2,3,4,5,6차로) /부분통제  서울청",1,0,0,1190000200,126.956333,37.514222,올림픽대로,올림픽대로,2,433,"1190041200,1190007003"
202503190905,20250319090600,L93151983230,145,202503170900,202503170900,202503231700,B,0,<경찰청제공>[공사] 내부순환로 마장램프 에서 월곡램프 방향 1차로 재포장 [공사]2025년 자동차전용도로 소규모포장 정비공사/장소 : 내부순환로 양방향 마장IC 지난 1.4km~월곡IC 전500m/부분통제  서울청,1,0,0,1055027100,127.037139,37.587111,내부순환로,내부순환로,1,427,1055028300
202503190905,20250319090600,M250319000163,6,202503190838,202503190838,202503190918,B,99,<국토부제공>(갓길)시설물청소작업중,2,2,0,2270545600,127.151972,37.512472,수도권제1순환선,수도권제1순환선,0,383,
202503190905,20250319090600,L93106252600,228,202107290000,202107290000,202511292359,B,0,<경찰청제공>[공사] 연결 체계 에서 개선공사 방향 1차로 도로공사 장소: 올림픽대로 잠실대교 남단IC본선및 연결로/통제방법: 부분통제 서울청,1,0,0,1230005001,127.095111,37.519583,연결,연결,0,193,
202503190905,20250319090600,L93146544022,191,202501010715,202501010715,202503311700,B,0,<경찰청제공>[공사] 서부간선도로 목동교 에서 신정교 방향 2차로 도로공사 [공사] 서부간선도로 일반도로화 및 친환경공간 조성공사 / 장소: 서부간선도로 목동교~신정교 / 부분통제  서울청,1,0,0,1185077100,126.889194,37.529917,서부간선도로,서부간선도로,6,209,"1185076200,1185074600,1185073200,1185023300,1185074300,1185195600"
202503190905,20250319090600,L93152020860,255,202503190828,202503190828,202503190858,B,0,<경찰청제공>[공사] 효령로 서초3교 에서 남부터미널역 방향 3차로 하수도/배수로 작업 주의운전,1,0,0,1210017003,127.021222,37.486306,효령로,효령로,0,347,
202503190905,20250319090600,2025020600761,4,202503030600,202503030900,202504302359,B,99,봉수대로 인천시청방면 월드브라인드갤러리 검단점 인근 관매설공사로 부분통제,1,3,0,1680057202,126.656972,37.589667,봉수대로,월드브라인드갤러리 검단점,0,160,
202503190905,20250319090600,L93151998573,76,202503180900,202503180900,202503311700,B,0,<경찰청제공>[공사] 올림픽대로 청담동3412 에서 씨티1차아파트 방향 1차로 도로공사 [공사] 2022년 자동차전용도로 강남권역 노후포장정비공사/올림픽대로 (공항방향) 성수대교 1차로/통제:부분통제  서울청,1,0,0,1220005503,127.054111,37.527583,올림픽대로,올림픽대로,0,457,
202503190905,20250319090600,L93151986913,117,202503170900,202503170900,202503211700,B,0,<경찰청제공>[공사] 강변북로 한강대교북단 에서 노들견우카페 방향 1차로 도로도색 [공사]자동차전용도로 강북권역 노후포장 정비공사(차선도색)/장소 : 강변북로 한강대교북단~난지방향 진입램프/부분통제  서울청,1,0,0,1020028900,126.961861,37.522028,강변북로,강변북로,0,474,
202503190905,20250319090600,L93151905429,117,202503110900,202503110900,202503311800,B,0,<경찰청제공>[공사] 광평로 수서역교차로 에서 궁마을삼거리 방향 1차로 가로수 벌목 [공사] 수목전지작업/ 장소: 강남구 광평로47길 17 수서신동아아파트/ 부분통제  서울청,1,0,0,1220010004,127.099556,37.486639,광평로,광평로,0,441,
202503190905,20250319090600,L93151983469,145,202503170900,202503170900,202503231700,B,0,<경찰청제공>[공사] 내부순환로 성동분기점 에서 마장램프 방향 1차로 재포장 [공사]자동차전용도로 소규모포장 정비공사/장소 : 내부순환로 양방향 성수 내부진입램프~마장IC 지난 1.4km/부분통제  서울청,1,0,0,1030040200,127.039333,37.556444,내부순환로,내부순환로,0,432,
202503190905,20250319090600,L93151983409,145,202503170900,202503170900,202503211700,B,0,"<경찰청제공>[공사] 동부간선도로 수서동하니움아파트 에서 자곡IC 방향 1,3차로 도로공사 [공사] 2022년 자동차전용도로 강북권역 노후포장 정비공사(연간단가) 장소: 동부간선도로-B 양방향 광평교~수서지하차도(1~3차로)/ 부분통제  서울청",1,0,0,1220341700,127.106028,37.488833,동부간선도로,동부간선도로,4,426,"1220001400,1220001802,1220001702,1220341800"
202503190905,20250319090600,L93151797841,38,202503010714,202503010714,202505021700,B,0,"<경찰청제공>[공사] 강변북로 동호대교 에서 한남대교 방향 1차로 유지보수 [공사]2024년 두모교 보수공사/장소:강변북로 두모교 일산방면 상부(옥수동 489-1부근, 한남동 784부근)/부분통제  서울청",1,0,0,1030001100,127.018056,37.539639,강변북로,강변북로,1,206,1020000902
